label,message
ham,Hey how are you
spam,Congratulations! You won a prize
ham,Are we meeting tomorrow
spam,Claim your free gift now
ham,Can you call me later
spam,You have been selected for a free trip
ham,Let's have lunch together
spam,Win money now by clicking this link
spam,Get your free voucher today
ham,Meeting at 3 PM
spam,You won $1000 cash
ham,Are you coming tonight
spam,Limited offer! Buy now
ham,Don't forget the meeting
spam,You have been chosen for a prize
ham,Please send me the report
spam,Free tickets available now
ham,Call me when you are free
spam,Click here to win a gift card
ham,Lunch at 1 PM works for me
spam,Claim your free phone today
ham,Are you available tomorrow morning
spam,You have won a lottery
ham,Please review the document
spam,Exclusive deal for you click now
ham,See you at the gym
spam,Get your free subscription now
ham,Can you send the notes
spam,You have a cash reward waiting
ham,Happy birthday! Hope you are well
spam,Claim your free Amazon voucher
ham,Meeting postponed to Friday
spam,Win an iPhone today
ham,Let's catch up soon
spam,Free Netflix subscription limited time
ham,Don't forget to call your mom
spam,Exclusive offer! Win prizes now
ham,Can you pick up groceries
spam,You have been selected for a gift
ham,Dinner at 8 PM works
spam,Claim your free shopping voucher
ham,Are you ready for the presentation
spam,You won a gift card
ham,Can you attend the meeting
spam,Free membership for a month
ham,Hope you are doing well
spam,Win cash instantly
ham,Let's go for a walk
spam,Claim your prize now
ham,See you tomorrow
spam,Get your free coupon
spam,"Payout: Rs. 25,000 per successful outcome"
spam,"Apply now for your remote work opportunity"
spam,"Earn money from home with zero investment"
spam,"You have been selected for a scholarship"
spam,"Limited-time offer! Upgrade now"
spam,"Claim your free iPhone"
spam,"Win a $500 gift card today"
spam,"Exclusive online deal, act fast"
ham,"Project meeting at 10 AM"
ham,"Lunch with the team tomorrow"
ham,"Send me the updated report"
ham,"Can we reschedule the call?"
ham,"Reminder: submit your assignment"
ham,"Are you available for a call?"
ham,"Birthday party at my place"
ham,"Let's go for a walk in the park"
ham,"Team lunch on Friday"
ham,"See you at the conference"
spam,"You won a lottery! Claim now"
spam,"Get your free subscription today"
spam,"Win cash instantly by clicking here"
spam,"Exclusive free offer just for you"
spam,"Free online course, enroll now"
spam,"Get paid to complete surveys"
spam,"Congratulations, claim your reward"
spam,"Click here to get your free voucher"
spam,"Free tickets available for a limited time"
spam,"Earn money quickly from home"
spam,"You are pre-approved for a credit card"
spam,"Act now to get your free gift"
spam,"Limited offer! Buy one get one free"
spam,"Claim your free Amazon voucher today"
spam,"Get a free consultation now"
spam,"Win a free iPhone today"
ham,"Doctor appointment at 3 PM"
ham,"Send the invoice by email"
ham,"Family dinner at 7 PM"
ham,"Pick up groceries on the way"
ham,"Team meeting postponed"
ham,"Call me when you are free"
ham,"Let's go to the movies"
ham,"Check the report and update"
ham,"Can you review this document?"
ham,"Don't forget to water the plants"
ham,"Gym session at 6 PM"
